Thibaut Courtois,Chelsea,25,GK,40.0,Belgium
David Luiz,Chelsea,30,CB,30.0,Brazil
Cesc Fabregas,Chelsea,30,CM,35.0,Spain
Willian,Chelsea,28,RW,32.0,Brazil
Victor Moses,Chelsea,26,RM,18.0,Nigeria
Nemanja Matic,Chelsea,28,DM,35.0,Serbia
N%27Golo Kante,Chelsea,26,DM,50.0,France
Willy Caballero,Chelsea,35,GK,1.5,Argentina
Michy Batshuayi,Chelsea,23,CF,25.0,Belgium
Kurt Zouma,Chelsea,22,CB,15.0,France
Kenedy,Chelsea,21,LB,7.0,Brazil
Eduardo Carvalho,Chelsea,34,LW,0.05,Portugal
Antonio Rudiger,Chelsea,24,CB,25.0,Germany
Tiemoue Bakayoko,Chelsea,22,DM,16.0,France
Wilfried Zaha,Crystal+Palace,24,RW,18.0,Cote d'Ivoire
Christian Benteke,Crystal+Palace,26,CF,28.0,Belgium
Andros Townsend,Crystal+Palace,26,RW,12.0,England
Patrick van Aanholt,Crystal+Palace,26,LB,9.0,Netherlands
James McArthur,Crystal+Palace,29,CM,7.0,Scotland
Wayne Hennessey,Crystal+Palace,30,GK,4.0,Wales
Jason Puncheon,Crystal+Palace,31,AM,5.5,England
Yohan Cabaye,Crystal+Palace,31,CM,15.0,France
Joel Ward,Crystal+Palace,27,RB,5.0,England
James Tomkins,Crystal+Palace,28,CB,7.0,England
Scott Dann,Crystal+Palace,30,CB,5.0,England
Damien Delaney,Crystal+Palace,36,CB,1.0,Ireland
Jeffrey Schlupp,Crystal+Palace,24,LB,8.0,Ghana
Martin Kelly,Crystal+Palace,27,RB,3.0,England
Luka Milivojevic,Crystal+Palace,26,DM,10.0,Serbia
Lee Chung-yong,Crystal+Palace,29,RW,1.5,South Korea
Connor Wickham,Crystal+Palace,24,CF,6.0,England
Bakary Sako,Crystal+Palace,29,LW,6.0,Mali
Pape Souare,Crystal+Palace,27,LB,6.0,Senegal
Ruben Loftus-Cheek,Crystal+Palace,21,CM,5.0,England
Julian Speroni,Crystal+Palace,38,GK,0.25,Argentina
Ross Barkley,Everton,23,AM,25.0,England
Leighton Baines,Everton,32,LB,12.0,England
Seamus Coleman,Everton,28,RB,17.0,Ireland
Ashley Williams,Everton,32,CB,8.0,Wales
Kevin Mirallas,Everton,29,RW,13.0,Belgium
